Relaxation,Carp_steps
0.025,4440
0.05,4329
0.075,4216
0.1,4101
0.125,3982
0.15,3860
0.175,3734
0.2,3603
0.225,3467
0.25,3326
0.275,3180
0.3,3048
0.325,2929
0.35,2823
0.375,2729
0.4,2643
0.425,2564
0.45,2492
0.475,2425
0.5,2364
0.525,3291
0.55,4988
0.575,7948
0.6,11181
0.625,16776
0.65,21487
0.675,26457
0.7,-1
0.725,31539
0.75,33594
0.775,35358
0.8,35046
0.825,35211
0.85,37158
0.875,42261
0.9,38216
0.925,-1
0.95,-1
0.975,-1
1,-1
1.025,-1
1.05,-1
1.075,-1
1.1,-1
1.125,-1
1.15,-1
1.175,-1
1.2,-1
1.225,-1
1.25,-1
1.275,-1
1.3,-1
1.325,-1
1.35,-1
1.375,-1
1.4,-1
1.425,-1
1.45,-1
1.475,-1
1.5,-1
1.525,-1
1.55,-1
1.575,-1
1.6,-1
1.625,-1
1.65,-1
1.675,-1
1.7,-1
1.725,-1
1.75,-1
1.775,-1
1.8,-1
1.825,-1
1.85,-1
1.875,-1
1.9,-1
1.925,-1
1.95,-1
1.975,-1
2,-1
2.025,-1
2.05,-1
2.075,-1
2.1,-1
2.125,-1
2.15,-1
2.175,-1
2.2,-1
2.225,-1
2.25,-1
2.275,-1
2.3,-1
2.325,-1
2.35,-1
2.375,-1
2.4,-1
2.425,-1
2.45,-1
2.475,-1
2.5,-1
2.525,-1
2.55,-1
2.575,-1
2.6,-1
2.625,-1
2.65,-1
2.675,-1
2.7,-1
2.725,-1
2.75,-1
2.775,-1
2.8,-1
2.825,-1
2.85,-1
2.875,-1
2.9,-1
2.925,-1
2.95,-1
2.975,-1
3,-1
