Relaxation,Carp_steps
0.025,324
0.05,314
0.075,307
0.1,299
0.125,291
0.15,283
0.175,274
0.2,264
0.225,255
0.25,246
0.275,236
0.3,228
0.325,220
0.35,212
0.375,205
0.4,199
0.425,197
0.45,207
0.475,234
0.5,242
0.525,243
0.55,275
0.575,274
0.6,276
0.625,307
0.65,310
0.675,339
0.7,319
0.725,365
0.75,352
0.775,374
0.8,405
0.825,468
0.85,508
0.875,510
0.9,494
0.925,510
0.95,557
0.975,614
1,614
1.025,616
1.05,599
1.075,656
1.1,741
1.125,689
1.15,892
1.175,751
1.2,807
1.225,722
1.25,808
1.275,784
1.3,766
1.325,1006
1.35,852
1.375,820
1.4,931
1.425,1515
1.45,1023
1.475,944
1.5,1059
1.525,1062
1.55,1086
1.575,950
1.6,1050
1.625,1020
1.65,971
1.675,947
1.7,1158
1.725,976
1.75,1053
1.775,1097
1.8,1020
1.825,1381
1.85,1187
1.875,1073
1.9,1263
1.925,1077
1.95,993
1.975,981
2,1028
2.025,1007
2.05,1017
2.075,994
2.1,1009
2.125,1019
2.15,1016
2.175,1099
2.2,1050
2.225,1120
2.25,1130
2.275,1136
2.3,1198
2.325,1156
2.35,1145
2.375,1129
2.4,1247
2.425,1164
2.45,2207
2.475,1215
2.5,1256
2.525,1148
2.55,1189
2.575,1225
2.6,1263
2.625,1113
2.65,1286
2.675,1285
2.7,1259
2.725,1285
2.75,1303
2.775,1534
2.8,1343
2.825,1215
2.85,1194
2.875,1206
2.9,1356
2.925,1230
2.95,1408
2.975,1559
3,1355
