Relaxation,Carp_steps
0.025,1052
0.05,1027
0.075,1003
0.1,979
0.125,954
0.15,928
0.175,902
0.2,874
0.225,846
0.25,817
0.275,786
0.3,756
0.325,727
0.35,701
0.375,679
0.4,658
0.425,638
0.45,620
0.475,604
0.5,588
0.525,574
0.55,610
0.575,749
0.6,947
0.625,1224
0.65,1443
0.675,1733
0.7,2088
0.725,2332
0.75,2635
0.775,2868
0.8,2925
0.825,3264
0.85,3310
0.875,3420
0.9,3801
0.925,-1
0.95,4825
0.975,5265
1,5669
1.025,6782
1.05,7537
1.075,7845
1.1,8599
1.125,8534
1.15,9202
1.175,9634
1.2,9243
1.225,11280
1.25,9104
1.275,10403
1.3,9480
1.325,12349
1.35,10446
1.375,10815
1.4,10114
1.425,11717
1.45,10488
1.475,10359
1.5,11355
1.525,10155
1.55,9943
1.575,10182
1.6,11898
1.625,10202
1.65,10574
1.675,11596
1.7,11463
1.725,13128
1.75,11062
1.775,12422
1.8,13264
1.825,12628
1.85,24808
1.875,12183
1.9,14712
1.925,11126
1.95,11775
1.975,12340
2,12689
2.025,13570
2.05,12438
2.075,12793
2.1,12838
2.125,13803
2.15,14614
2.175,16391
2.2,13644
2.225,13113
2.25,12693
2.275,14354
2.3,12760
2.325,20366
2.35,14534
2.375,14731
2.4,15679
2.425,17020
2.45,13297
2.475,15859
2.5,14740
2.525,21068
2.55,14668
2.575,15165
2.6,13869
2.625,14402
2.65,-1
2.675,15464
2.7,14321
2.725,17661
2.75,16131
2.775,15343
2.8,16076
2.825,15342
2.85,16428
2.875,17440
2.9,15195
2.925,16054
2.95,14307
2.975,15531
3,14201
