Relaxation,Carp_steps
0.025,1562
0.05,1516
0.075,1472
0.1,1426
0.125,1378
0.15,1328
0.175,1277
0.2,1221
0.225,1163
0.25,1108
0.275,1060
0.3,1016
0.325,978
0.35,943
0.375,911
0.4,882
0.425,862
0.45,1326
0.475,1519
0.5,1759
0.525,2690
0.55,2196
0.575,2518
0.6,4339
0.625,3145
0.65,3112
0.675,4416
0.7,3978
0.725,4032
0.75,4510
0.775,6194
0.8,6392
0.825,7513
0.85,7488
0.875,11119
0.9,7327
0.925,8489
0.95,8383
0.975,8970
1,12191
1.025,9736
1.05,9048
1.075,10753
1.1,10356
1.125,9714
1.15,10970
1.175,11587
1.2,19254
1.225,10889
1.25,-1
1.275,10922
1.3,19851
1.325,20915
1.35,29339
1.375,-1
1.4,17697
1.425,13618
1.45,21770
1.475,16249
1.5,23908
1.525,-1
1.55,22824
1.575,12207
1.6,18722
1.625,19753
1.65,14868
1.675,24083
1.7,26114
1.725,21987
1.75,12594
1.775,13161
1.8,26276
1.825,13890
1.85,13427
1.875,17248
1.9,13400
1.925,-1
1.95,12977
1.975,12180
2,15647
2.025,21460
2.05,12569
2.075,21337
2.1,12365
2.125,23234
2.15,16936
2.175,12724
2.2,24341
2.225,17516
2.25,27315
2.275,28071
2.3,16971
2.325,29488
2.35,27713
2.375,30033
2.4,26053
2.425,16235
2.45,30585
2.475,14060
2.5,17756
2.525,20770
2.55,23842
2.575,15506
2.6,15817
2.625,17345
2.65,29055
2.675,31171
2.7,15328
2.725,17198
2.75,14363
2.775,15198
2.8,18306
2.825,14382
2.85,14417
2.875,14322
2.9,15053
2.925,25709
2.95,14436
2.975,20977
3,22677
