Relaxation,Carp_steps
0.025,306
0.05,300
0.075,294
0.1,289
0.125,282
0.15,276
0.175,270
0.2,263
0.225,257
0.25,250
0.275,243
0.3,236
0.325,227
0.35,220
0.375,214
0.4,208
0.425,202
0.45,196
0.475,191
0.5,186
0.525,182
0.55,177
0.575,186
0.6,193
0.625,202
0.65,215
0.675,249
0.7,255
0.725,290
0.75,298
0.775,309
0.8,344
0.825,348
0.85,372
0.875,415
0.9,420
0.925,438
0.95,485
0.975,557
1,575
1.025,629
1.05,657
1.075,760
1.1,754
1.125,874
1.15,868
1.175,989
1.2,982
1.225,857
1.25,888
1.275,925
1.3,1000
1.325,1002
1.35,1143
1.375,1202
1.4,1078
1.425,1099
1.45,1071
1.475,1137
1.5,1444
1.525,1175
1.55,1396
1.575,1239
1.6,1526
1.625,1584
1.65,1375
1.675,1316
1.7,1377
1.725,1175
1.75,1283
1.775,1281
1.8,1429
1.825,1335
1.85,1380
1.875,1349
1.9,1386
1.925,1352
1.95,1476
1.975,1352
2,1510
2.025,1537
2.05,1421
2.075,1413
2.1,1374
2.125,1518
2.15,1496
2.175,1576
2.2,1440
2.225,3027
2.25,1679
2.275,2674
2.3,1624
2.325,1709
2.35,1572
2.375,1510
2.4,1654
2.425,1586
2.45,1648
2.475,1697
2.5,1651
2.525,1770
2.55,1925
2.575,1659
2.6,1817
2.625,1799
2.65,1865
2.675,1818
2.7,1719
2.725,1855
2.75,1678
2.775,1718
2.8,1679
2.825,1844
2.85,1730
2.875,2056
2.9,2006
2.925,1928
2.95,1818
2.975,1769
3,1767
