Relaxation,Carp_steps
0.1,340
0.35,334
0.6,332
0.85,328
1.1,328
1.35,324
1.6,324
1.85,321
2.1,319
2.35,317
2.6,316
2.85,314
3.1,311
3.35,309
3.6,307
3.85,305
4.1,303
4.35,302
4.6,299
4.85,298
5.1,297
5.35,295
5.6,292
5.85,291
6.1,288
6.35,287
6.6,284
6.85,283
7.1,281
7.35,279
7.6,277
7.85,275
8.1,272
8.35,270
8.6,268
8.85,266
9.1,263
9.35,261
9.6,258
9.85,256
10.1,254
10.35,251
10.6,250
10.85,248
11.1,245
11.35,244
11.6,241
11.85,239
12.1,237
12.35,235
12.6,232
12.85,231
13.1,228
13.35,226
13.6,224
13.85,223
14.1,221
14.35,220
14.6,218
14.85,216
15.1,214
15.35,213
15.6,211
15.85,209
16.1,207
16.35,206
16.6,205
16.85,203
17.1,202
17.35,201
17.6,200
17.85,199
18.1,199
18.35,199
18.6,211
18.85,214
19.1,211
19.35,209
19.6,222
19.85,218
20.1,226
20.35,247
20.6,231
20.85,232
21.1,245
21.35,249
21.6,248
21.85,244
22.1,239
22.35,247
22.6,242
22.85,263
23.1,275
23.35,272
23.6,263
23.85,280
24.1,295
24.35,281
24.6,266
24.85,282
25.1,290
25.35,275
25.6,279
25.85,280
26.1,286
26.35,290
26.6,309
26.85,339
27.1,317
27.35,326
27.6,319
27.85,320
28.1,352
28.35,336
28.6,344
28.85,337
29.1,343
29.35,329
29.6,326
29.85,349
