Relaxation,Carp_steps
0.1,6923
0.35,6861
0.6,6814
0.85,6771
1.1,6726
1.35,6684
1.6,6639
1.85,6596
2.1,6554
2.35,6509
2.6,6465
2.85,6422
3.1,6378
3.35,6334
3.6,6288
3.85,6246
4.1,6200
4.35,6154
4.6,6108
4.85,6063
5.1,6016
5.35,5971
5.6,5924
5.85,5876
6.1,5828
6.35,5780
6.6,5732
6.85,5684
7.1,5633
7.35,5584
7.6,5533
7.85,5483
8.1,5431
8.35,5381
8.6,5327
8.85,5275
9.1,5221
9.35,5168
9.6,5113
9.85,5058
10.1,5001
10.35,4944
10.6,4887
10.85,4832
11.1,4780
11.35,4727
11.6,4677
11.85,4628
12.1,4582
12.35,4536
12.6,4492
12.85,4449
13.1,4406
13.35,4365
13.6,4326
13.85,4288
14.1,4249
14.35,4212
14.6,4177
14.85,4141
15.1,4108
15.35,4074
15.6,4042
15.85,4009
16.1,3978
16.35,3948
16.6,3918
16.85,3889
17.1,3861
17.35,3833
17.6,3806
17.85,3779
18.1,3753
18.35,3728
18.6,3703
18.85,3678
19.1,3654
19.35,3631
19.6,3609
19.85,3586
20.1,3571
20.35,4199
